track_name,artist_name,date,time
Angels Like You,Miley Cyrus,2019-12-04,08:20:46 PM
Angels Like You,Miley Cyrus,2019-12-04,09:49:14 AM
Angels Like You,Miley Cyrus,2019-12-04,10:29:50 AM
Angels Like You,Miley Cyrus,2019-12-04,05:58:00 AM
Angels Like You,Miley Cyrus,2019-12-04,03:02:28 AM
Angels Like You,Miley Cyrus,2019-12-04,01:58:18 AM
Angels Like You,Miley Cyrus,2019-12-04,10:18:47 PM
Angels Like You,Miley Cyrus,2019-12-04,05:15:09 AM
Angels Like You,Miley Cyrus,2019-12-04,12:20:52 PM
Another Love,Tom Odell,2019-12-04,10:38:43 PM
Another Love,Tom Odell,2019-12-04,03:49:23 PM
Another Love,Tom Odell,2019-12-04,02:05:24 AM
Another Love,Tom Odell,2019-12-04,02:37:49 PM
Another Love,Tom Odell,2019-12-04,10:35:32 PM
Another Love,Tom Odell,2019-12-04,03:54:40 AM
Another Love,Tom Odell,2019-12-04,09:14:13 PM
Another Love,Tom Odell,2019-12-04,07:18:59 PM
Another Love,Tom Odell,2019-12-04,03:10:09 AM
Another Love,Tom Odell,2019-12-04,09:16:34 PM
Another Love,Tom Odell,2019-12-04,06:38:14 PM
Another Love,Tom Odell,2019-12-04,01:47:08 AM
Another Love,Tom Odell,2019-12-04,05:25:16 PM
Another Love,Tom Odell,2019-12-04,01:36:32 PM
Another Love,Tom Odell,2019-12-04,02:32:25 PM
Another Love,Tom Odell,2019-12-04,02:06:48 PM
Another Love,Tom Odell,2019-12-04,03:33:07 PM
Another Love,Tom Odell,2019-12-04,01:13:22 AM
Another Love,Tom Odell,2019-12-04,02:32:14 AM
Another Love,Tom Odell,2019-12-04,09:57:53 PM
Another Love,Tom Odell,2019-12-04,12:07:09 AM
Anti-Hero,Taylor Swift,2019-12-04,01:20:24 AM
Anti-Hero,Taylor Swift,2019-12-04,10:08:05 AM
Anti-Hero,Taylor Swift,2019-12-04,12:27:28 PM
Anti-Hero,Taylor Swift,2019-12-04,06:16:17 AM
Anti-Hero,Taylor Swift,2019-12-04,11:59:28 PM
Anti-Hero,Taylor Swift,2019-12-04,11:21:14 PM
Anti-Hero,Taylor Swift,2019-12-04,11:21:58 AM
Anti-Hero,Taylor Swift,2019-12-04,05:40:56 AM
Anti-Hero,Taylor Swift,2019-12-04,10:38:15 PM
Anti-Hero,Taylor Swift,2019-12-04,03:01:24 PM
Anti-Hero,Taylor Swift,2019-12-04,09:24:18 PM
Anti-Hero,Taylor Swift,2019-12-04,01:08:52 PM
Anti-Hero,Taylor Swift,2019-12-04,06:55:09 AM
Anti-Hero,Taylor Swift,2019-12-04,08:20:21 PM
Anti-Hero,Taylor Swift,2020-01-17,12:49:13 AM
Anti-Hero,Taylor Swift,2020-01-18,02:39:52 PM
As It Was,Harry Styles,2020-01-19,01:24:06 AM
As It Was,Harry Styles,2020-01-20,12:56:05 AM
As It Was,Harry Styles,2020-01-21,11:25:30 PM
As It Was,Harry Styles,2020-01-22,02:51:35 AM
As It Was,Harry Styles,2020-01-23,01:25:03 PM
As It Was,Harry Styles,2020-01-24,03:18:46 AM
As It Was,Harry Styles,2020-01-25,06:05:04 AM
As It Was,Harry Styles,2020-01-26,10:42:21 PM
As It Was,Harry Styles,2020-01-27,11:29:12 PM
As It Was,Harry Styles,2020-01-28,07:02:23 AM
As It Was,Harry Styles,2020-01-29,01:23:01 AM
As It Was,Harry Styles,2020-01-30,10:05:25 AM
As It Was,Harry Styles,2020-01-31,07:04:28 PM
As It Was,Harry Styles,2020-02-01,02:05:43 PM
As It Was,Harry Styles,2020-02-02,07:57:18 PM
Blank Space,Taylor Swift,2020-02-03,01:29:42 AM
Blank Space,Taylor Swift,2020-02-04,07:55:55 AM
Blank Space,Taylor Swift,2020-02-05,01:38:07 AM
Blank Space,Taylor Swift,2020-02-06,09:41:08 AM
Blank Space,Taylor Swift,2020-02-07,06:15:14 AM
Blank Space,Taylor Swift,2020-02-08,03:45:39 AM
Blank Space,Taylor Swift,2020-02-09,02:35:50 AM
Blank Space,Taylor Swift,2020-02-10,03:50:09 PM
Blank Space,Taylor Swift,2020-02-11,08:18:30 AM
Blank Space,Taylor Swift,2020-02-12,04:05:08 AM
Blank Space,Taylor Swift,2020-02-13,03:38:40 PM
Blank Space,Taylor Swift,2020-02-14,04:45:35 PM
Blank Space,Taylor Swift,2020-02-15,11:45:24 AM
Blank Space,Taylor Swift,2020-02-16,11:21:55 PM
Blank Space,Taylor Swift,2020-02-17,12:23:22 AM
Blank Space,Taylor Swift,2020-02-18,03:24:24 PM
Blank Space,Taylor Swift,2020-02-19,03:40:49 PM
Blank Space,Taylor Swift,2020-02-20,12:35:58 PM
Blank Space,Taylor Swift,2020-02-21,07:57:58 PM
Blank Space,Taylor Swift,2020-02-22,05:12:43 PM
Blank Space,Taylor Swift,2020-02-23,11:25:21 PM
Blinding Lights,The Weeknd,2020-02-24,10:55:27 AM
Blinding Lights,The Weeknd,2020-02-25,02:26:38 PM
Blinding Lights,The Weeknd,2020-02-26,10:37:57 PM
Blinding Lights,The Weeknd,2020-02-27,02:44:07 PM
Blinding Lights,The Weeknd,2020-02-28,10:49:56 PM
Blinding Lights,The Weeknd,2020-02-29,08:31:41 PM
Cruel Summer,Taylor Swift,2020-03-01,02:35:08 PM
Cruel Summer,Taylor Swift,2020-03-02,11:27:23 AM
Cruel Summer,Taylor Swift,2020-03-03,03:03:50 AM
Cruel Summer,Taylor Swift,2020-03-04,10:44:37 AM
Cruel Summer,Taylor Swift,2020-03-05,11:47:56 AM
Cruel Summer,Taylor Swift,2020-03-06,06:13:29 PM
Cruel Summer,Taylor Swift,2020-03-07,08:25:07 PM
Cruel Summer,Taylor Swift,2020-03-08,11:02:50 PM
Cruel Summer,Taylor Swift,2020-03-09,11:32:09 AM
Cruel Summer,Taylor Swift,2020-03-10,02:25:32 AM
Dance The Night,Dua Lipa,2020-03-11,11:32:21 AM
Dance The Night,Dua Lipa,2020-03-12,08:11:50 PM
Dance The Night,Dua Lipa,2020-03-13,07:54:15 AM
Dance The Night,Dua Lipa,2020-03-14,06:40:41 AM
Dance The Night,Dua Lipa,2020-03-15,08:31:31 PM
Dance The Night,Dua Lipa,2020-03-16,10:57:19 AM
Dance The Night,Dua Lipa,2020-03-17,12:28:42 PM
Dance The Night,Dua Lipa,2020-03-18,08:36:11 PM
Dance The Night,Dua Lipa,2020-03-19,11:10:56 AM
Dance The Night,Dua Lipa,2020-03-20,07:26:30 AM
Dance The Night,Dua Lipa,2020-03-21,02:10:33 PM
Dance The Night,Dua Lipa,2020-03-22,04:22:14 PM
Dance The Night,Dua Lipa,2020-03-23,10:04:15 PM
Dance The Night,Dua Lipa,2020-03-24,02:47:44 AM
Dance The Night,Dua Lipa,2020-03-25,09:44:57 AM
Dance The Night,Dua Lipa,2020-03-26,11:36:36 AM
Dance The Night,Dua Lipa,2020-03-27,11:37:26 AM
Dance The Night,Dua Lipa,2020-03-28,05:13:29 AM
Dance The Night,Dua Lipa,2020-03-29,02:48:22 AM
Dance The Night,Dua Lipa,2020-03-30,02:21:49 AM
Dance The Night,Dua Lipa,2020-03-31,11:39:09 AM
Dance The Night,Dua Lipa,2020-04-01,10:10:23 AM
Dance The Night,Dua Lipa,2020-04-02,03:57:57 PM
Dance The Night,Dua Lipa,2020-04-03,06:26:28 PM
Dance The Night,Dua Lipa,2020-04-04,05:10:29 PM
Dance The Night,Dua Lipa,2020-04-05,08:07:18 AM
Dance The Night,Dua Lipa,2020-04-06,12:47:07 AM
Daylight,David Kushner,2020-04-07,10:18:47 AM
Daylight,David Kushner,2020-04-08,01:33:15 AM
Daylight,David Kushner,2020-04-09,10:46:45 PM
Die For You,The Weeknd,2020-04-10,10:03:48 PM
Die For You,The Weeknd,2020-04-11,04:38:36 AM
Die For You,The Weeknd,2020-04-12,11:19:30 PM
Die For You,The Weeknd,2020-04-13,02:52:43 PM
Die For You,The Weeknd,2020-04-14,11:01:07 PM
Die For You,The Weeknd,2020-04-15,02:45:11 PM
Die For You,The Weeknd,2020-04-16,05:55:34 AM
Die For You,The Weeknd,2020-04-17,10:09:08 AM
Die For You,The Weeknd,2020-04-18,11:15:14 AM
Die For You,The Weeknd,2020-04-19,10:19:00 AM
Die For You,The Weeknd,2020-04-20,11:08:01 PM
Die For You,The Weeknd,2020-04-21,12:00:36 AM
Die For You,The Weeknd,2020-04-22,09:26:42 PM
Die For You,The Weeknd,2019-12-04,09:16:49 PM
Die For You,The Weeknd,2019-12-04,11:09:40 AM
Die For You,The Weeknd,2019-12-04,11:01:23 AM
Flowers,Miley Cyrus,2019-12-04,05:55:35 PM
Flowers,Miley Cyrus,2019-12-04,07:25:58 PM
Flowers,Miley Cyrus,2019-12-04,01:17:52 AM
Flowers,Miley Cyrus,2019-12-04,12:41:11 PM
Flowers,Miley Cyrus,2019-12-04,07:43:32 AM
Flowers,Miley Cyrus,2019-12-04,11:47:23 AM
Flowers,Miley Cyrus,2019-12-04,06:44:27 PM
Flowers,Miley Cyrus,2019-12-04,01:33:26 PM
Flowers,Miley Cyrus,2019-12-04,04:30:49 AM
Flowers,Miley Cyrus,2019-12-04,03:34:25 AM
Flowers,Miley Cyrus,2019-12-04,01:01:17 PM
Flowers,Miley Cyrus,2019-12-04,07:50:47 AM
Flowers,Miley Cyrus,2019-12-04,05:50:48 PM
Flowers,Miley Cyrus,2019-12-04,05:47:09 AM
Flowers,Miley Cyrus,2019-12-04,12:36:55 AM
Flowers,Miley Cyrus,2019-12-04,02:35:50 PM
Flowers,Miley Cyrus,2019-12-04,02:42:38 PM
Flowers,Miley Cyrus,2019-12-04,07:49:48 PM
Flowers,Miley Cyrus,2019-12-04,10:23:07 AM
Flowers,Miley Cyrus,2019-12-04,07:34:43 AM
Flowers,Miley Cyrus,2019-12-04,07:15:20 AM
I Ain't Worried,OneRepublic,2019-12-04,05:31:41 AM
I Ain't Worried,OneRepublic,2019-12-04,12:29:27 AM
I Wanna Be Yours,Arctic Monkeys,2019-12-04,05:14:07 PM
I Wanna Be Yours,Arctic Monkeys,2019-12-04,01:57:13 PM
I Wanna Be Yours,Arctic Monkeys,2019-12-04,01:22:43 PM
I Wanna Be Yours,Arctic Monkeys,2019-12-04,01:38:57 PM
I Wanna Be Yours,Arctic Monkeys,2019-12-04,11:17:47 AM
I Wanna Be Yours,Arctic Monkeys,2019-12-04,10:54:56 AM
I Wanna Be Yours,Arctic Monkeys,2019-12-04,08:30:50 PM
I Wanna Be Yours,Arctic Monkeys,2019-12-04,05:15:00 PM
I Wanna Be Yours,Arctic Monkeys,2019-12-04,10:50:35 PM
I Wanna Be Yours,Arctic Monkeys,2019-12-04,11:57:17 PM
I Wanna Be Yours,Arctic Monkeys,2019-12-04,01:43:02 PM
I Wanna Be Yours,Arctic Monkeys,2019-12-04,02:59:32 PM
I Wanna Be Yours,Arctic Monkeys,2019-12-04,02:15:53 PM
I Wanna Be Yours,Arctic Monkeys,2019-12-04,10:45:35 AM
I Wanna Be Yours,Arctic Monkeys,2019-12-04,01:34:21 AM
I Wanna Be Yours,Arctic Monkeys,2019-12-04,10:28:10 AM
I Wanna Be Yours,Arctic Monkeys,2019-12-04,08:53:15 PM
I Wanna Be Yours,Arctic Monkeys,2019-12-04,09:11:54 AM
I Wanna Be Yours,Arctic Monkeys,2020-06-06,12:00:46 PM
I Wanna Be Yours,Arctic Monkeys,2020-06-07,06:31:10 AM
I Wanna Be Yours,Arctic Monkeys,2020-06-08,10:06:20 AM
I Wanna Be Yours,Arctic Monkeys,2020-06-09,11:44:02 AM
I Wanna Be Yours,Arctic Monkeys,2020-06-10,04:59:03 PM
I Wanna Be Yours,Arctic Monkeys,2020-06-11,10:32:58 PM
I Wanna Be Yours,Arctic Monkeys,2020-06-12,09:53:46 PM
LALA,Myke Towers,2020-06-13,09:38:26 PM
LALA,Myke Towers,2020-06-14,08:54:50 AM
LALA,Myke Towers,2020-06-15,09:43:12 AM
LALA,Myke Towers,2020-06-16,12:17:16 AM
LALA,Myke Towers,2020-06-17,07:56:34 PM
LALA,Myke Towers,2020-06-18,11:04:06 PM
LALA,Myke Towers,2020-06-19,05:28:41 PM
LALA,Myke Towers,2020-06-20,04:45:40 PM
LALA,Myke Towers,2020-06-21,07:13:28 PM
LALA,Myke Towers,2020-06-22,10:12:47 PM
LALA,Myke Towers,2020-06-23,09:23:00 PM
LALA,Myke Towers,2020-06-24,07:34:39 PM
LALA,Myke Towers,2020-06-25,01:52:30 PM
LALA,Myke Towers,2020-06-26,05:15:59 PM
LALA,Myke Towers,2020-06-27,12:27:42 AM
LALA,Myke Towers,2020-06-28,09:00:11 PM
LALA,Myke Towers,2020-06-29,09:03:41 PM
LALA,Myke Towers,2020-06-30,12:59:22 AM
LALA,Myke Towers,2020-07-01,09:50:18 AM
LALA,Myke Towers,2020-07-02,02:19:15 PM
LALA,Myke Towers,2020-07-03,10:53:42 AM
LALA,Myke Towers,2020-07-04,06:09:13 PM
LALA,Myke Towers,2020-07-05,08:35:59 PM
Last Night,Morgan Wallen,2020-07-06,08:53:28 PM
Last Night,Morgan Wallen,2020-07-07,04:44:48 AM
Last Night,Morgan Wallen,2020-07-08,02:07:31 PM
Rush,Troye Sivan,2020-07-09,03:26:02 PM
Rush,Troye Sivan,2020-07-10,03:57:34 AM
Rush,Troye Sivan,2020-07-11,08:18:38 PM
Rush,Troye Sivan,2020-07-12,10:53:01 PM
Rush,Troye Sivan,2020-07-13,04:01:28 AM
Rush,Troye Sivan,2020-07-14,01:56:59 AM
Rush,Troye Sivan,2020-07-15,09:46:10 AM
Rush,Troye Sivan,2020-07-16,12:42:45 AM
Rush,Troye Sivan,2020-07-17,10:03:11 AM
Rush,Troye Sivan,2020-07-18,10:21:27 PM
Rush,Troye Sivan,2020-07-19,12:45:55 AM
Rush,Troye Sivan,2020-07-20,09:57:36 AM
Rush,Troye Sivan,2020-07-21,01:18:01 PM
Rush,Troye Sivan,2020-07-22,12:40:41 PM
Rush,Troye Sivan,2020-07-23,03:51:51 PM
Rush,Troye Sivan,2020-07-24,12:18:43 PM
Rush,Troye Sivan,2020-07-25,02:41:24 PM
Rush,Troye Sivan,2020-07-26,08:53:06 AM
Rush,Troye Sivan,2020-07-27,04:16:17 AM
Rush,Troye Sivan,2020-07-28,03:27:29 PM
Rush,Troye Sivan,2020-07-29,03:53:58 AM
Rush,Troye Sivan,2020-07-30,06:59:19 PM
Rush,Troye Sivan,2020-07-31,04:51:07 PM
Rush,Troye Sivan,2020-08-01,10:36:36 AM
Rush,Troye Sivan,2020-08-02,04:44:42 AM
Style,Taylor Swift,2020-08-03,08:20:09 PM
Style,Taylor Swift,2020-08-04,04:56:57 AM
Super Shy,NewJeans,2020-08-05,01:12:09 AM
Super Shy,NewJeans,2020-08-06,01:11:01 AM
Super Shy,NewJeans,2020-08-07,10:38:00 PM
Super Shy,NewJeans,2020-08-08,11:11:51 AM
Super Shy,NewJeans,2020-08-09,01:22:32 AM
Super Shy,NewJeans,2020-08-10,04:47:10 PM
Super Shy,NewJeans,2020-08-11,08:05:05 PM
Super Shy,NewJeans,2020-08-12,01:03:38 AM
Super Shy,NewJeans,2020-08-13,08:53:16 AM
Super Shy,NewJeans,2020-08-14,02:06:09 AM
Super Shy,NewJeans,2020-08-15,10:17:48 PM
Super Shy,NewJeans,2020-08-16,06:06:36 AM
Super Shy,NewJeans,2020-08-17,05:01:52 PM
Super Shy,NewJeans,2020-08-18,12:12:32 AM
Super Shy,NewJeans,2020-08-19,05:11:10 PM
Super Shy,NewJeans,2020-08-20,08:07:03 AM
Super Shy,NewJeans,2019-12-04,08:36:15 AM
Super Shy,NewJeans,2019-12-04,12:31:33 PM
Super Shy,NewJeans,2019-12-04,07:39:32 PM
Super Shy,NewJeans,2019-12-04,08:36:53 AM
Super Shy,NewJeans,2019-12-04,08:48:28 PM
Super Shy,NewJeans,2019-12-04,07:55:48 AM
Super Shy,NewJeans,2019-12-04,11:05:33 PM
Super Shy,NewJeans,2019-12-04,01:29:33 PM
Super Shy,NewJeans,2019-12-04,04:58:58 AM
Super Shy,NewJeans,2019-12-04,11:22:42 AM
Super Shy,NewJeans,2019-12-04,07:52:57 AM
Super Shy,NewJeans,2019-12-04,09:28:18 AM
Super Shy,NewJeans,2019-12-04,05:39:23 AM
Super Shy,NewJeans,2019-12-04,08:22:20 PM
vampire,Olivia Rodrigo,2019-12-04,06:47:22 PM
vampire,Olivia Rodrigo,2019-12-04,05:26:07 AM
vampire,Olivia Rodrigo,2019-12-04,05:59:35 AM
vampire,Olivia Rodrigo,2019-12-04,02:31:13 AM
vampire,Olivia Rodrigo,2019-12-04,10:08:55 PM
vampire,Olivia Rodrigo,2019-12-04,04:47:10 PM
vampire,Olivia Rodrigo,2019-12-04,08:05:05 PM
vampire,Olivia Rodrigo,2019-12-04,01:03:38 AM
vampire,Olivia Rodrigo,2019-12-04,08:53:16 AM
vampire,Olivia Rodrigo,2019-12-04,02:06:09 AM
vampire,Olivia Rodrigo,2019-12-04,10:17:48 PM
vampire,Olivia Rodrigo,2019-12-04,06:06:36 AM
vampire,Olivia Rodrigo,2019-12-04,05:01:52 PM
vampire,Olivia Rodrigo,2019-12-04,12:12:32 AM
vampire,Olivia Rodrigo,2019-12-04,05:11:10 PM
vampire,Olivia Rodrigo,2019-12-04,08:07:03 AM
WHERE SHE GOES,Bad Bunny,2019-12-04,08:36:15 AM
WHERE SHE GOES,Bad Bunny,2019-12-04,12:31:33 PM
WHERE SHE GOES,Bad Bunny,2019-12-04,07:39:32 PM
WHERE SHE GOES,Bad Bunny,2019-12-04,08:36:53 AM
WHERE SHE GOES,Bad Bunny,2019-12-04,08:48:28 PM
WHERE SHE GOES,Bad Bunny,2019-12-04,07:55:48 AM
WHERE SHE GOES,Bad Bunny,2019-12-04,11:05:33 PM
WHERE SHE GOES,Bad Bunny,2019-12-04,01:29:33 PM
WHERE SHE GOES,Bad Bunny,2019-12-04,04:58:58 AM
WHERE SHE GOES,Bad Bunny,2019-12-04,11:22:42 AM
WHERE SHE GOES,Bad Bunny,2019-12-04,07:52:57 AM
WHERE SHE GOES,Bad Bunny,2019-12-04,09:28:18 AM
WHERE SHE GOES,Bad Bunny,2019-12-04,05:39:23 AM
WHERE SHE GOES,Bad Bunny,2019-12-04,08:22:20 PM
WHERE SHE GOES,Bad Bunny,2020-10-04,06:47:22 PM
WHERE SHE GOES,Bad Bunny,2020-10-05,05:26:07 AM
WHERE SHE GOES,Bad Bunny,2020-10-06,05:59:35 AM
WHERE SHE GOES,Bad Bunny,2020-10-07,02:31:13 AM
